Sorry but we are currently updating our shop,Vi beklager men butikken er under oppdatering.
What does a Boat Sport Map look like?,Hvordan ser et Båtsportkart ut?
AREA MAP COVER (Enlarge area with + for more details),OMRÅDET KARTET DEKKER(Forstørr området med + for mer detaljer)
Add to Cart,Legg i kurv
Add to cart,Legg i kurv
View nearby,Se nabokart
Go To Product,Mer info.
Related products,Relaterte produkter
"Don't miss out on great deals","Ikke gå glipp av gode tilbud"
Privacy Settings,Personverninnstillinger
Download personal data,Last ned personopplysninger
Here you can download a copy of your personal data which we store for your account in CSV format.,Her kan du laste ned en kopi av dine personlige data som vi lagrer for kontoen din i CSV-format.
Anonymise personal data,Anonymiser personopplysningene
"Anonymising your personal data means that it will be replaced with non-personal anonymous information and before that you will get your new login to your e-mail address (your password will stay the same). After this process, your e-mail address and all other personal data will be removed from the website.","Anonymisering av dine personlige data betyr at den vil bli erstattet med ikke-personlig anonym informasjon og før det får du den nye påloggingen til e-postadressen din (passordet ditt vil forbli det samme). Etter denne prosessen blir e-postadressen din og alle andre personlige data fjernet fra nettstedet."
I agree and I want to proceed,Jeg er enig og vil fortsette
Delete account,Slett konto
"Request to remove your account, together with all your personal data, will be processed by our staff.<br>Deleting your account will remove all the purchase history, discounts, orders, invoices and all other information that might be related to your account or your purchases.<br>All your orders and similar information will be lost.<br>You will not be able to restore access to your account after we approve your removal request.","Forespørsel om å fjerne kontoen din, sammen med alle dine personlige data, vil bli behandlet av våre ansatte.<br>Hvis du sletter kontoen din, fjernes alle kjøpshistorikk, rabatter, bestillinger, fakturaer og all annen informasjon som kan være relatert til kontoen din eller kjøpene dine.<br>Alle bestillinger og lignende informasjon vil gå tapt.<br>Du vil ikke kunne gjenopprette tilgang til kontoen din etter at vi har godkjent forespørselen om fjerning."
I understand and I want to delete my account,Jeg forstår og jeg vil slette kontoen min
Submit request,Slett min konto
"Order Date","Bestillingsdato"
Search item here...,Søk etter varer...
No Items,Ingen ting
There are no items to show in reorder list,Det er ingen elementer å vise i ombestillingslisten
Enter product name or SKU,Søk varenummer aller tittel
Fast order,Hurtigordre
Fast Order,Hurtigordre
Add lines,Legg til varelinjer
"Filled Lines Number: ","Antall utfylte linjer: "
"Total Qty: ","Totalt antall: "
"Sub Total: ","Sub Total: "
"Enter <i>SKU:quantity</i> per row","Legg inn <i>SKU: Varenummer</i> direkte i tekstfeltet"
"Sort By:","Sortering"
"Option 1: Look up one by one","Alternativ 1: Søk opp en og en vare"
"Option 1: Paste or upload item list","Alternativ 2: Lim inn eller last opp vareliste"
"Upload","Last opp fil"
"Download .csv sample","Last ned .csv mal"
"Add to list","Legg til i listen"
"My page","Mine sider"
"Customer service","Kundeservice"
"faq_url","vanlige-sporsmal"
"<b>FAQ</b>","<b>Vanlige spørsmål</b>"
"<b>Shipping</b> for letters (no tracking)","<b>Fri frakt</b> ved kjøp over 299,-"
Feel free to contact us so we can help you. We will respond to you shortly. We wish you a very nice day.,Ta gjerne kontakt med oss så vi kan hjelpe deg. Vi svarer deg innen kort tid. Vi ønsker deg en riktig fin dag.
"Show all %1 results →","Vis alle %1 resultater →"
"Click to zoom","Klikk for å zoome"
"Click to expand","Klikk for å utvide"
"Tap to expand","Klikk for større bilde"
"Double tap or pinch to zoom","Dobbelttrykk eller bruk 2 fingre for å zoome"
"The shipping method is missing. Select the shipping method and try again.","Du må velge en leveringsmåte"
"Shipped By","Leveringsmåte"
"Tracking Number","Sporingsnummer"
Buy,Kjøp
Choose shipping method in checkout,Velg fraktmetode i kassen
